"Date","Total.ST","Total.ST.min","Total.ST.match","Social.ST","Social.ST.min","Social.ST.match","Pickups","Pickup.1st","Total.ST.true","Social.ST.true","weekday","if_weekend"
2021-12-22,"5h48m",348,TRUE,"0h59m",59,TRUE,106,2021-12-22 08:42:00,348,59,"Wed",FALSE
2021-12-23,"7h2m",422,TRUE,"0h24m",24,TRUE,60,2021-12-23 08:12:00,422,24,"Thu",FALSE
2021-12-24,"6h11m",371,TRUE,"1h10m",70,TRUE,85,2021-12-24 08:52:00,371,70,"Fri",FALSE
2021-12-25,"4h32m",272,TRUE,"1h6m",66,TRUE,84,2021-12-25 09:12:00,272,66,"Sat",TRUE
2021-12-26,"4h30m",270,TRUE,"1h2m",62,TRUE,79,2021-12-26 09:26:00,270,62,"Sun",TRUE
2021-12-27,"4h56m",296,TRUE,"1h1m",61,TRUE,85,2021-12-27 10:41:00,296,61,"Mon",FALSE
2021-12-28,"5h22m",322,TRUE,"1h2m",62,TRUE,84,2021-12-28 09:59:00,322,62,"Tue",FALSE
2021-12-29,"4h29m",269,TRUE,"0h41m",41,TRUE,61,2021-12-29 08:45:00,269,41,"Wed",FALSE
2021-12-30,"4h19m",259,TRUE,"1h0m",60,TRUE,109,2021-12-30 08:40:00,259,60,"Thu",FALSE
2021-12-31,"6h11m",371,TRUE,"1h35m",95,TRUE,81,2021-12-31 08:57:00,371,95,"Fri",FALSE
2022-01-01,"6h0m",360,TRUE,"1h24m",84,TRUE,71,2022-01-01 08:07:00,360,84,"Sat",TRUE
2022-01-02,"3h51m",231,TRUE,"0h44m",44,TRUE,71,2022-01-02 08:34:00,231,44,"Sun",TRUE
2022-01-03,"5h5m",305,TRUE,"0h43m",43,TRUE,101,2022-01-03 08:54:00,305,43,"Mon",FALSE
2022-01-04,"3h53m",223,FALSE,"1h7m",67,TRUE,91,2022-01-04 08:42:00,233,67,"Tue",FALSE
2022-01-05,"3h0m",180,TRUE,"2h1m",121,TRUE,126,2022-01-05 08:13:00,180,121,"Wed",FALSE
2022-01-06,"3h23m",203,TRUE,"1h9m",69,TRUE,121,2022-01-06 08:10:00,203,69,"Thu",FALSE
2022-01-07,"4h11m",251,TRUE,"1h23m",83,TRUE,111,2022-01-07 09:41:00,251,83,"Fri",FALSE
2022-01-08,"4h28m",268,TRUE,"0h53m",53,TRUE,67,2022-01-08 08:51:00,268,53,"Sat",TRUE
2022-01-09,"3h42m",222,TRUE,"1h2m",62,TRUE,74,2022-01-09 08:41:00,222,62,"Sun",TRUE
2022-01-10,"3h21m",201,TRUE,"0h58m",58,TRUE,109,2022-01-10 08:11:00,201,58,"Mon",FALSE
2022-01-11,"5h7m",307,TRUE,"1h30m",90,TRUE,168,2022-01-11 08:10:00,307,90,"Tue",FALSE
2022-01-12,"2h59m",179,TRUE,"1h7m",67,TRUE,115,2022-01-12 04:52:00,179,67,"Wed",FALSE
2022-01-13,"4h47m",287,TRUE,"1h20m",80,TRUE,127,2022-01-13 08:13:00,287,80,"Thu",FALSE
2022-01-14,"5h0m",300,TRUE,"1h7m",67,TRUE,93,2022-01-14 09:00:00,300,67,"Fri",FALSE
2022-01-15,"4h29m",269,TRUE,"0h51m",51,TRUE,69,2022-01-15 05:03:00,269,51,"Sat",TRUE
2022-01-16,"4h37m",277,TRUE,"0h28m",28,TRUE,77,2022-01-16 09:01:00,277,28,"Sun",TRUE
2022-01-17,"2h56m",176,TRUE,"0h29m",29,TRUE,55,2022-01-17 03:54:00,176,29,"Mon",FALSE
2022-01-18,"3h7m",187,TRUE,"1h5m",65,TRUE,132,2022-01-18 05:05:00,187,65,"Tue",FALSE
2022-01-19,"4h19m",259,TRUE,"1h22m",82,TRUE,124,2022-01-19 08:10:00,259,82,"Wed",FALSE
2022-01-20,"2h54m",176,FALSE,"0h54m",54,TRUE,120,2022-01-20 08:19:00,174,54,"Thu",FALSE
2022-01-21,"3h37m",217,TRUE,"0h54m",54,TRUE,109,2022-01-21 09:00:00,217,54,"Fri",FALSE
2022-01-22,"4h1m",241,TRUE,"0h32m",32,TRUE,62,2022-01-22 08:45:00,241,32,"Sat",TRUE
2022-01-23,"2h47m",167,TRUE,"0h54m",54,TRUE,85,2022-01-23 08:54:00,167,54,"Sun",TRUE
